Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/runs,1846,0,41,40.876457475558155,9.404000011272728,89.35910009313375,67.0,131.25243654975847,0.0,41,45,47,49,54,57,64,69,86,89,89
,Aggregated,1846,0,41,40.876457475558155,9.404000011272728,89.35910009313375,67.0,131.25243654975847,0.0,41,45,47,49,54,57,64,69,86,89,89
