Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/runs,1747,0,46,45.08963033937304,8.858799934387207,98.78199989907444,67.0,124.3283691228456,0.0,46,49,52,53,57,61,64,70,90,99,99
,Aggregated,1747,0,46,45.08963033937304,8.858799934387207,98.78199989907444,67.0,124.3283691228456,0.0,46,49,52,53,57,61,64,70,90,99,99
