Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/runs,2703,0,15,16.507605733627283,7.010999950580299,67.68740003462881,67.0,192.41858452120863,0.0,15,18,20,21,26,30,34,38,66,68,68
,Aggregated,2703,0,15,16.507605733627283,7.010999950580299,67.68740003462881,67.0,192.41858452120863,0.0,15,18,20,21,26,30,34,38,66,68,68
